,ID,Name
604429,Funhe2EKm041507,"Creatine kinase S-type, mitochondrial (92%U)"
604432,Funhe2EKm041508,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 (95%U)
604411,Funhe2EKm041501,Stomatin protein 2 (91%U)
604387,Funhe2EKm041491,Calcipressin-1 (81%U)
604390,Funhe2EKm041492,Diaphanous (7%U)
604393,Funhe2EKm041493,"39S ribosomal protein L38, mitochondrial (47%U)"
604396,Funhe2EKm041494,RanBP-type and C3HC4-type zinc finger-containing protein (87%C)
604399,Funhe2EKm041497,Piwi protein 4 (38%U)
604402,Funhe2EKm041498,Non-POU domain-containing octamer-binding protein (33%U)
604405,Funhe2EKm041499,"B(0,+)-type amino acid transporter (69%T)"
604408,Funhe2EKm041500,MAP/microtubule affinity-regulating kinase 2 (41%Z)
604384,Funhe2EKm041490,"Actin, gamma 1 (96%T)"
604330,Funhe2EKm041470,Deoxyhypusine hydroxylase (96%U)
604255,Funhe2EKm041445,chromosome 19 open reading frame 29 (38%T)
604258,Funhe2EKm041446,mitochondrial folate transporter/carrier (100%M)
604261,Funhe2EKm041447,"A-kinase anchor protein 10, mitochondrial (29%U)"
604252,Funhe2EKm041444,Alcohol dehydrogenase 8a (100%C)
604267,Funhe2EKm041449,Oxysterol-binding protein 2 (41%U)
604270,Funhe2EKm041450,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1 (95%U)
604273,Funhe2EKm041451,acyl-CoA synthetase short-chain family member 2 (53%T)
604264,Funhe2EKm041448,Phosphatase 1B (74%U)
604249,Funhe2EKm041443,Complement factor H (61%P)
604228,Funhe2EKm041436,"solute carrier family 35 (UDP-galactose transporter), member A2 (85%T)"
604231,Funhe2EKm041437,Uncharacterized protein
604234,Funhe2EKm041438,UBX domain-containing protein 2B (79%U)
604237,Funhe2EKm041439,"1-acylglycerol-3-phosphate O-acyltransferase 2 (Lysophosphatidic acid acyltransferase, beta) (99%C)"
604240,Funhe2EKm041440,Cleavage stimulation factor subunit (58%T)
604243,Funhe2EKm041441,"NOP2/Sun domain family, member 6 (34%Z)"
604246,Funhe2EKm041442,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (75%U)"
604276,Funhe2EKm041452,Abhydrolase domain-containing protein 16A (65%U)
604306,Funhe2EKm041462,Uncharacterized protein
604309,Funhe2EKm041463,Uncharacterized protein
604312,Funhe2EKm041464,LIM domain kinase 1 (49%T)
604315,Funhe2EKm041465,"solute carrier family 39 (zinc transporter), member 14 (61%T)"
604318,Funhe2EKm041466,Elongation factor 1-alpha (76%T)
604321,Funhe2EKm041467,developmentally-regulated GTP-binding protein 2 (100%M)
604324,Funhe2EKm041468,Cathepsin L2 (72%U)
604327,Funhe2EKm041469,RAE1 RNA export 1 homolog (S. pombe) (100%Z)
604279,Funhe2EKm041453,methionyl aminopeptidase 1 (92%T)
604282,Funhe2EKm041454,N-acetylgalactosamine kinase (78%U)
604285,Funhe2EKm041455,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa (20%P)"
604288,Funhe2EKm041456,Ras-related GTP-binding protein A (95%U)
604291,Funhe2EKm041457,Secretory carrier-associated membrane protein 3 (68%U)
604294,Funhe2EKm041458,Catenin beta-1 (37%U)
604297,Funhe2EKm041459,DEAD (Asp-Glu-Ala-Asp) box helicase 56 (71%P)
604300,Funhe2EKm041460,Forkhead box protein F1 (29%U)
604303,Funhe2EKm041461,WD repeat-containing protein 47 (29%U)
604435,Funhe2EKm041509,karyopherin (importin) beta 1 (46%P)
604012,Funhe2EKm041364,40S ribosomal protein SA (79%U)
603724,Funhe2EKm041265,Bifunctional polynucleotide phosphatase/kinase (72%U)
603727,Funhe2EKm041266,prostaglandin E synthase 2 (75%M)
603730,Funhe2EKm041267,CSNK2A1 protein (94%U)
603721,Funhe2EKm041264,"eukaryotic translation initiation factor 4A, (100%Z)"
603736,Funhe2EKm041269,Lunapark (71%U)
603739,Funhe2EKm041270,"spectrin, beta, non-erythrocytic 1 (16%T)"
603742,Funhe2EKm041271,Uncharacterized protein
603733,Funhe2EKm041268,"E3 ubiquitin-protein ligase UBR7, putative (28%U)"
603718,Funhe2EKm041263,Uncharacterized protein
603697,Funhe2EKm041256,acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase) (98%Z)
603700,Funhe2EKm041257,Polypeptide N-acetylgalactosaminyltransferase 1 (74%U)
603703,Funhe2EKm041258,"glutamic-oxaloacetic transaminase 2b, mitochondrial (aspartate aminotransferase 2) (94%Z)"
603706,Funhe2EKm041259,Exportin-2 (17%U)
603709,Funhe2EKm041260,Cystathionine beta-synthase (64%U)
603712,Funhe2EKm041261,cAMP-dependent protein kinase catalytic subunit beta (99%S)
603715,Funhe2EKm041262,Ankyrin-3 (35%U)
603694,Funhe2EKm041255,"GDP-mannose 4,6 dehydratase (94%M)"
603745,Funhe2EKm041272,Ileal sodium/bile acid cotransporter (85%U)
603775,Funhe2EKm041282,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (52%U)"
603778,Funhe2EKm041283,Cathepsin E (100%T)
603781,Funhe2EKm041284,FACT complex subunit SPT16 (37%U)
603784,Funhe2EKm041285,Cell division cycle protein 20 (26%U)
603787,Funhe2EKm041286,collagen alpha-2(I) chain (34%M)
603790,Funhe2EKm041288,Calreticulin (83%U)
603793,Funhe2EKm041289,"eukaryotic translation initiation factor 4A, (94%Z)"
603796,Funhe2EKm041290,Uncharacterized protein
603772,Funhe2EKm041281,Inactive tyrosine-protein kinase (90%P)
603748,Funhe2EKm041273,Ectonucleotide pyrophosphatase/phosphodiesterase family member 4 (83%U)
603751,Funhe2EKm041274,integrin-linked kinase-associated serine/threonine phosphatase (77%P)
603754,Funhe2EKm041275,Coronin-1C (80%U)
603757,Funhe2EKm041276,SCAN domain-containing protein (77%T)
603760,Funhe2EKm041277,"angio-associated, migratory cell protein (74%T)"
603763,Funhe2EKm041278,General transcription factor IIE subunit (73%T)
603766,Funhe2EKm041279,"solute carrier family 37 (glycerol-3-phosphate transporter), member 3 (83%P)"
603769,Funhe2EKm041280,diacylglycerol O-acyltransferase 1 (100%T)
603691,Funhe2EKm041254,mitochondrial carrier 1 (100%P)
603616,Funhe2EKm041229,IWS1 (16%U)
603619,Funhe2EKm041230,"protein disulfide isomerase family A, member 6 (99%T)"
603622,Funhe2EKm041231,BRCA1 associated protein (49%Z)
603625,Funhe2EKm041232,methionyl aminopeptidase 2 (76%Z)
603628,Funhe2EKm041233,Glutamate-rich WD repeat-containing protein 1 (91%U)
603631,Funhe2EKm041234,regulator of nonsense transcripts 1 (34%M)
603634,Funhe2EKm041235,"polymerase (DNA directed), delta 2, regulatory subunit (89%Z)"
603637,Funhe2EKm041236,Kelch protein 33 (65%T)
603613,Funhe2EKm041227,Phosphatase 1D (49%U)
603589,Funhe2EKm041219,COP9 signalosome complex subunit 2 (96%U)
603592,Funhe2EKm041220,Soluble calcium-activated nucleotidase 1 (83%U)
603595,Funhe2EKm041221,serine/arginine repetitive matrix 1 (18%Z)
603598,Funhe2EKm041222,Mothers against decapentaplegic (45%U)
603601,Funhe2EKm041223,"Trans-2-enoyl-CoA reductase, mitochondrial (94%U)"
603604,Funhe2EKm041224,Fizzy-related protein (70%U)
603607,Funhe2EKm041225,ankyrin repeat domain 52 (27%P)
603610,Funhe2EKm041226,cell division cycle 23 homolog (S. cerevisiae) (72%T)
603670,Funhe2EKm041247,bile salt export pump (20%M)
603673,Funhe2EKm041248,Inositol polyphosphate multikinase (64%U)
603676,Funhe2EKm041249,"coatomer protein complex, subunit alpha (36%Z)"
603679,Funhe2EKm041250,Threonyl-tRNA synthetase (36%T)
603682,Funhe2EKm041251,Uncharacterized protein
603685,Funhe2EKm041252,SH3 domain-binding protein 5 (57%U)
603688,Funhe2EKm041253,"Ornithine aminotransferase, mitochondrial (90%U)"
603667,Funhe2EKm041246,PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae) (83%T)
603643,Funhe2EKm041238,Ankyrin-3 (5%U)
603646,Funhe2EKm041239,"galactosidase, alpha (89%T)"
603649,Funhe2EKm041240,Tropomyosin alpha-3 chain (84%C)
603652,Funhe2EKm041241,Kinesin protein KIF21B (19%U)
603655,Funhe2EKm041242,Elongation of very long chain fatty acids protein (100%S)
603658,Funhe2EKm041243,Isocitrate dehydrogenase [NADP] cytoplasmic (97%U)
603661,Funhe2EKm041244,"aldolase a, fructose-bisphosphate, a (100%Z)"
603664,Funhe2EKm041245,Transmembrane protein 120A (76%U)
603640,Funhe2EKm041237,presenilin-2 (83%M)
603799,Funhe2EKm041291,Tyrosine-protein kinase FRK (80%U)
603937,Funhe2EKm041339,splicing factor U2AF 65 kDa subunit (75%M)
603940,Funhe2EKm041340,Trehalase (61%U)
603943,Funhe2EKm041341,Peptidyl-prolyl cis-trans isomerase G (11%U)
603934,Funhe2EKm041338,"Aspartate--tRNA ligase, cytoplasmic (58%U)"
603949,Funhe2EKm041343,Nuclear inhibitor of protein phosphatase 1 (84%U)
603952,Funhe2EKm041344,"collagen, type I, alpha 2 (27%Z)"
603955,Funhe2EKm041345,Minor histocompatibility antigen H13 (94%U)
603946,Funhe2EKm041342,Small glutamine-rich tetratricopeptide repeat-containing protein alpha (96%U)
603931,Funhe2EKm041337,Histone acetyltransferase type B catalytic subunit (82%M)
603910,Funhe2EKm041329,"sulfide:quinone oxidoreductase, mitochondrial (85%M)"
603913,Funhe2EKm041330,Beta-chimaerin (52%Z)
603916,Funhe2EKm041331,"Proteasome (prosome, macropain) 26S subunit, ATPase (87%P)"
603919,Funhe2EKm041332,E3 ubiquitin-protein ligase RNF13 (72%U)
603922,Funhe2EKm041334,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (94%U)
603925,Funhe2EKm041335,Histone acetyltransferase type B catalytic subunit (78%M)
603928,Funhe2EKm041336,"aldo-keto reductase family 1, member B1 (aldose reductase) (97%Z)"
603907,Funhe2EKm041328,"SH3-binding domain kinase family, member (100%P)"
603958,Funhe2EKm041346,PAP-associated domain-containing protein 5 (51%U)
603988,Funhe2EKm041356,TBC1 domain family member 15 (43%U)
603991,Funhe2EKm041357,proteasomal ubiquitin receptor ADRM1 (33%M)
603994,Funhe2EKm041358,Uncharacterized protein
603997,Funhe2EKm041359,Synaptosomal-associated protein (100%)
604000,Funhe2EKm041360,Dehydrogenase/reductase SDR family member 7B (91%U)
604003,Funhe2EKm041361,guanine nucleotide binding protein 3 (nucleolar) (74%T)
604006,Funhe2EKm041362,Nucleolar RNA helicase 2 (49%U)
604009,Funhe2EKm041363,charged multivesicular body protein 2a (100%M)
603985,Funhe2EKm041355,Ubiquitin carboxyl-terminal hydrolase 44 (60%U)
603961,Funhe2EKm041347,C-terminal-binding protein (60%Z)
603964,Funhe2EKm041348,Pyruvate kinase (81%U)
603967,Funhe2EKm041349,myeloid/lymphoid or mixed-lineage leukemia 3 (4%T)
603970,Funhe2EKm041350,insulin growth factor 2 mRNA binding protein 3 (50%P)
603973,Funhe2EKm041351,Abhydrolase domain-containing protein FAM108C1 (99%U)
603976,Funhe2EKm041352,cAMP-dependent protein kinase type I-beta regulatory subunit (100%U)
603979,Funhe2EKm041353,TNF receptor-associated factor 5 (37%M)
603982,Funhe2EKm041354,Cytoplasmic dynein 1 light intermediate chain 1 (67%U)
603904,Funhe2EKm041327,Cytosolic non-specific dipeptidase (83%U)
603829,Funhe2EKm041301,Splicing factor 3A subunit 2 (42%U)
603832,Funhe2EKm041302,"Proteasome (prosome, macropain) 26S subunit, ATPase (98%T)"
603835,Funhe2EKm041303,Coatomer subunit beta' (47%U)
603838,Funhe2EKm041304,Lupus La protein (82%U)
603841,Funhe2EKm041305,RanBP-type and C3HC4-type zinc finger-containing protein (87%M)
603844,Funhe2EKm041306,"cell division cycle 42 (GTP binding protein, 25kDa) (100%T)"
603847,Funhe2EKm041307,"Thioredoxin reductase 1, cytoplasmic (66%U)"
603826,Funhe2EKm041300,endoplasmic reticulum protein 44 (96%Z)
603802,Funhe2EKm041292,tryptophan hydroxylase 1b (54%Z)
603805,Funhe2EKm041293,Transcription factor E2F7 (25%U)
603808,Funhe2EKm041294,Phosphatase 1 regulatory subunit 7 (63%U)
603811,Funhe2EKm041295,"microtubule-associated protein, RP/EB family, member 3 (100%T)"
603814,Funhe2EKm041296,Uncharacterized protein
603817,Funhe2EKm041297,Histone-binding protein RBBP4 (92%U)
603820,Funhe2EKm041298,cystinosin (69%M)
603823,Funhe2EKm041299,"Heat shock protein 75 kDa, mitochondrial (58%U)"
603850,Funhe2EKm041309,"ATP-dependent RNA helicase DDX17, putative (40%U)"
603853,Funhe2EKm041310,Elongation factor 1-gamma (85%U)
603883,Funhe2EKm041320,Phosphoacetylglucosamine mutase (71%U)
603886,Funhe2EKm041321,Cell division cycle protein 23 (48%U)
603889,Funhe2EKm041322,"serine palmitoyltransferase, long chain base subunit 1 (80%Z)"
603892,Funhe2EKm041323,Tudor domain-containing protein (81%M)
603895,Funhe2EKm041324,cyclin-dependent kinase 12 (13%Z)
603898,Funhe2EKm041325,"ATPase family, AAA domain containing 2 (20%T)"
603901,Funhe2EKm041326,Zinc transporter ZIP12 (56%U)
603880,Funhe2EKm041319,high density lipoprotein-binding protein (vigilin) (16%Z)
603877,Funhe2EKm041318,Myosin family protein (36%S)
603856,Funhe2EKm041311,F-box/LRR-repeat protein 20 (85%U)
603859,Funhe2EKm041312,Inositol polyphosphate multikinase (55%U)
603862,Funhe2EKm041313,FCH domain only protein 1 (24%U)
603865,Funhe2EKm041314,"Dyskeratosis congenita 1, dyskerin (67%P)"
603868,Funhe2EKm041315,Neuroendocrine convertase 1 (58%U)
603871,Funhe2EKm041316,myosin-9 (15%M)
603874,Funhe2EKm041317,RuvB 1 (E. coli) (86%T)
604438,Funhe2EKm041510,Uncharacterized protein
604999,Funhe2EKm041705,WD repeat-containing protein 70 (27%U)
605002,Funhe2EKm041706,Purine nucleoside phosphorylase (100%U)
605005,Funhe2EKm041707,"glutamate-cysteine ligase, catalytic subunit (39%Z)"
604996,Funhe2EKm041704,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog) (100%Z)"
605011,Funhe2EKm041710,Eukaryotic translation initiation factor 5B (17%U)
605014,Funhe2EKm041711,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (67%U)"
605017,Funhe2EKm041712,Uncharacterized protein
605008,Funhe2EKm041709,Mitochondrial import receptor subunit TOM40 (84%U)
604993,Funhe2EKm041703,endoplasmic reticulum lectin 1 (47%P)
604972,Funhe2EKm041695,voltage-dependent anion channel 2 (100%T)
604975,Funhe2EKm041696,Cytosolic purine 5'-nucleotidase (50%U)
604978,Funhe2EKm041698,nucleolar complex associated 2 homolog (S. cerevisiae) (48%P)
604981,Funhe2EKm041699,Transmembrane protein 63B (62%U)
604984,Funhe2EKm041700,ectonucleotide pyrophosphatase/phosphodiesterase 1 (6%Z)
604987,Funhe2EKm041701,triosephosphate isomerase 1 (98%P)
604990,Funhe2EKm041702,40S ribosomal protein S3a (100%U)
604969,Funhe2EKm041694,Multidrug resistance-associated protein 4 (24%U)
605020,Funhe2EKm041713,Solute carrier family 25 member (96%T)
605050,Funhe2EKm041723,40S ribosomal protein S7 (100%U)
605053,Funhe2EKm041724,MSH6 protein (28%U)
605056,Funhe2EKm041725,DnaJ subfamily B member 4 (99%U)
605059,Funhe2EKm041726,RNA polymerase-associated protein RTF1 (24%U)
605062,Funhe2EKm041727,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase (74%P)"
605065,Funhe2EKm041728,ADP/ATP translocase 2 (99%U)
605068,Funhe2EKm041729,"ankyrin 3, node of Ranvier (ankyrin G) (7%T)"
605071,Funhe2EKm041730,Band 4.1 protein 4A (29%U)
605047,Funhe2EKm041722,Interferon stimulated gene 15-3 (96%S)
605023,Funhe2EKm041714,histone-binding protein N1/N2 (60%M)
605026,Funhe2EKm041715,Mitochondrial dicarboxylate carrier (100%U)
605029,Funhe2EKm041716,Uncharacterized protein
605032,Funhe2EKm041717,5-hydroxytryptamine receptor 7 (67%U)
605035,Funhe2EKm041718,SUMO-activating enzyme subunit 1 (100%U)
605038,Funhe2EKm041719,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (30%U)
605041,Funhe2EKm041720,Activator of basal transcription 1 (71%U)
605044,Funhe2EKm041721,E3 ubiquitin-protein ligase RNF31 (30%U)
604966,Funhe2EKm041693,"AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast) (63%P)"
604891,Funhe2EKm041667,Zinc transporter 10 (71%U)
604894,Funhe2EKm041668,Uncharacterized protein
604897,Funhe2EKm041669,pleckstrin homology domain-containing family F member 2 (100%M)
604900,Funhe2EKm041670,ATP-sensitive inward rectifier potassium channel 12 (71%M)
604903,Funhe2EKm041671,CCR4-NOT transcription complex subunit 7 (72%U)
604906,Funhe2EKm041672,Uncharacterized protein
604909,Funhe2EKm041673,cell division cycle 27 (37%Z)
604912,Funhe2EKm041674,Exportin 7 (36%U)
604888,Funhe2EKm041666,Uncharacterized protein (82%T)
604864,Funhe2EKm041657,Zinc transporter ZIP12 (34%U)
604867,Funhe2EKm041659,THO complex subunit 6 (69%U)
604870,Funhe2EKm041660,"glucosidase, alpha (28%P)"
604873,Funhe2EKm041661,Ubiquitin carboxyl-terminal hydrolase 5 (47%U)
604876,Funhe2EKm041662,staphylococcal nuclease and tudor domain containing 1 (24%T)
604879,Funhe2EKm041663,Forkhead box protein O4 (28%U)
604882,Funhe2EKm041664,DnaJ subfamily B member 6 (27%U)
604885,Funhe2EKm041665,Kinesin light chain 3 (61%U)
604945,Funhe2EKm041686,protein transport protein Sec24C (26%M)
604948,Funhe2EKm041687,serine/arginine-rich splicing factor 3a (47%Z)
604951,Funhe2EKm041688,alanyl-tRNA synthetase (27%Z)
604954,Funhe2EKm041689,Prohibitin-2 (100%U)
604957,Funhe2EKm041690,Ig heavy chain V-III region VH26 (51%M)
604960,Funhe2EKm041691,Mitoferrin-1 (89%U)
604963,Funhe2EKm041692,60S ribosomal protein L7a (81%S)
604942,Funhe2EKm041685,transaldolase 1 (95%Z)
604918,Funhe2EKm041676,"5'-nucleotidase, cytosolic III (93%P)"
604921,Funhe2EKm041677,40S ribosomal protein SA (84%U)
604924,Funhe2EKm041678,Hexokinase-2 (38%U)
604927,Funhe2EKm041679,Ubiquitin carboxyl-terminal hydrolase 28 (11%U)
604930,Funhe2EKm041680,Vesicle-fusing ATPase (31%U)
604933,Funhe2EKm041681,"proteasome (prosome, macropain) 26S subunit, ATPase, 5 (80%Z)"
604936,Funhe2EKm041682,"eukaryotic translation initiation factor 3, subunit 2 beta (100%Z)"
604939,Funhe2EKm041684,Sentrin-specific protease 1 (21%U)
604915,Funhe2EKm041675,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (11%U)
605074,Funhe2EKm041731,Cytoplasmic protein NCK2 (77%U)
605212,Funhe2EKm041777,Ubiquitin-conjugating enzyme ATG3 (100%U)
605215,Funhe2EKm041778,Myosin-2 (13%U)
605218,Funhe2EKm041780,"Lipoyl synthase, mitochondrial (78%U)"
605209,Funhe2EKm041776,chromosome 3 open reading frame 19 (37%T)
605224,Funhe2EKm041782,Uncharacterized protein (79%U)
605227,Funhe2EKm041783,MAP kinase-activated protein kinase 2 (74%U)
605230,Funhe2EKm041784,glycerol-3-phosphate dehydrogenase 1a (97%Z)
605221,Funhe2EKm041781,Uncharacterized protein
605206,Funhe2EKm041775,DnaJ subfamily B member 8 (100%U)
605185,Funhe2EKm041768,Monocarboxylate transporter (60%Z)
605188,Funhe2EKm041769,glutamate receptor interacting protein 1 (22%P)
605191,Funhe2EKm041770,Uncharacterized protein
605194,Funhe2EKm041771,Cyclin-C (58%U)
605197,Funhe2EKm041772,Uncharacterized protein
605200,Funhe2EKm041773,Copper homeostasis protein cutC (99%U)
605203,Funhe2EKm041774,"EF-hand domain family, member D2 (76%Z)"
605182,Funhe2EKm041767,Carbonyl reductase [NADPH] 1 (84%U)
605233,Funhe2EKm041785,UBX domain protein 1 (98%T)
605263,Funhe2EKm041795,oculocerebrorenal syndrome of Lowe (26%Z)
605266,Funhe2EKm041796,ribosomal protein L5 (82%P)
605269,Funhe2EKm041797,Transcriptional regulator ATRX (11%U)
605272,Funhe2EKm041798,Transcription initiation factor IIB (97%U)
605275,Funhe2EKm041799,LIM homeobox 1b (62%Z)
605278,Funhe2EKm041800,NAD-dependent protein deacetylase sirtuin-2 (81%U)
605281,Funhe2EKm041801,"KRR1, small subunit (SSU) processome component, homolog (yeast) (55%T)"
605284,Funhe2EKm041802,cytohesin-2 (43%M)
605260,Funhe2EKm041794,Cysteine and glycine-rich protein 1 (100%U)
605236,Funhe2EKm041786,Cytoplasmic dynein 1 intermediate chain 2 (36%U)
